PS D:\photogrpahy web\wetransfer_pics-for-website_2026-09-08_0523\Gallery> python ratio.py
Enter the path to your image folder: Travel
Filename                       | Dimensions   | Exact Ratio  | Decimal
5.jpg                          | 1400x805     | 40:23        | 1.74:1
6.jpg                          | 1400x711     | 1400:711     | 1.97:1
7.jpg                          | 1400x598     | 700:299      | 2.34:1
8.jpg                          | 1400x933     | 1400:933     | 1.5:1
9.jpg                          | 1400x935     | 280:187      | 1.5:1
PS D:\photogrpahy web\wetransfer_pics-for-website_2026-09-08_0523\Gallery> 




ai output :


I'll calculate this properly rather than eyeball it, since six galleries with mixed ratios need real arithmetic.Here's how I worked it out: with each column set to a width of 1, an image's height is its height ÷ width. A standard landscape (1400×933) is about 0.67 units tall, a portrait (933×1400) is about 1.50, and a square is 1.00. I placed images in numeric order into whichever column was shortest, then ran an optimizer that swaps nearby images only when that clearly improves the balance. The bottom row of each table shows the final column heights. Portraits are marked, and I've also flagged squares and panoramas (wider than about 1.7:1), since those affect the balance too.

**Travel** (the difference between tallest and shortest column is 0.14, about a fifth of a landscape image)

| Column 1 | Column 2 | Column 3 |
|---|---|---|
| 1.jpg | 2.jpg | 3.jpg |
| 4.jpg | 5.jpg | 6.jpg |
| 8.jpg | 7.jpg | 9.jpg |
| 11.jpg **(Portrait)** | 10.jpg | 10 A.jpg |
| 17.jpg | 12.jpg **(Portrait)** | 13.jpg **(Portrait)** |
| 15.jpg | 14.jpg | 16.jpg |
| 18.jpg | 19.jpg | 20.jpg |
| 25.jpg **(Portrait)** | 22.jpg | 24.jpg |
| | 21.jpg | 26.jpg |
| **6.98** | **6.84** | **6.85** |

**Theyyam** (difference 0.33)

| Column 1 | Column 2 | Column 3 |
|---|---|---|
| 1.jpg **(Portrait)** | 2.jpg | 3.jpg |
| 13.jpg | 4.jpg | 6.jpg |
| 18.jpg **(Portrait)** | 5.jpg **(Portrait)** | 7.jpg |
| | 16.jpg (Square) | 14.jpg |
| | | 15.jpg |
| | | 17.jpg |
| **3.67** | **3.83** | **4.00** |

**Holi** (difference 0.42)

| Column 1 | Column 2 | Column 3 |
|---|---|---|
| 1.jpg | 2.jpg | 3.jpg |
| 4.jpg | 5.jpg | 7.jpg |
